ID: DJT07006:CA, Name: Fonds Desjardins Obligations canadiennes, catégorie D
ID: DJT07165:CA, Name: Fonds Desjardins SociéTerre Actions canadiennes, catégorie D
ID: DJT07177:CA, Name: Fonds Desjardins SociéTerre Diversité, catégorie D
ID: MFC8454:CA, Name: Fonds européen Mackenzie Ivy, série D
ID: NBC3702:CA, Name: Fonds Jarislowsky Fraser Sélect actions canadiennes BNI série F
ID: TDB3014:CA, Name: Fonds mondial communications et divertissement TD ($US) - D
ID: TDB2213:CA, Name: Fonds nord-américain équilibré de développement durable TD - D
ID: NBC741:CA, Name: Fonds petite capitalisation BNI série F
ID: TDB3098:CA, Name: Fonds science et technologie TD - D
ID: OGD:CA, Name: Forage Orbit Garant Inc.
ID: FOM:CA, Name: Foran Mining Corporation
ID: F:EGX, Name: Ford Motor Company
ID: FTS:CA, Name: Fortis Inc.
ID: FVI:CA, Name: Fortuna Silver Mines Inc.
ID: $CHFUSD, Name: Franc suisse
ID: FNV:CA, Name: Franco Nevada
ID: GMIN:CA, Name: G Mining Ventures Corp.
ID: GLXY:CA, Name: Galaxy Digital Holdings Ltée
ID: GH:CA, Name: Gamehost Inc
ID: GAP, Name: Gap
ID: GDI:CA, Name: GDI Services aux immeubles inc
ID: GNRC, Name: Generac Holdings Inc.
ID: GD:EGX, Name: General Dynamics Corporation
ID: GE:EGX, Name: General Electric
ID: GIS:EGX, Name: General Mills Inc
ID: GM:EGX, Name: General Motors Company
ID: WN:CA, Name: George Weston
ID: GFL:CA, Name: GFL Environmental Inc.
ID: GIL:CA, Name: Gildan, vêtements de sport
ID: GILD:EGX, Name: Gilead Sciences
ID: GPN, Name: Global Payments Inc.
ID: PAVE:EGX, Name: Global X U.S. Infrastructure Development ETF
ID: GSY:CA, Name: goeasy Limitée
ID: GGD:CA, Name: GoGold Resources Inc.
ID: GFI, Name: Gold Fields Limited
ID: GS:EGX, Name: Goldmam Sachs
ID: GEM, Name: Goldman Sachs ActiveBeta Emerging Markets Equity
ID: GDL:CA, Name: Goodfellow Inc.
ID: GOOG:EGX, Name: Google (Alphabet Inc)
ID: GWO:CA, Name: Great-West
ID: GPV:CA, Name: GreenPower Motor Company Inc.
ID: DRX:CA, Name: Groupe ADF
ID: GBT:CA, Name: Groupe BMTC
ID: GCL:CA, Name: Groupe Colabor inc.
ID: GRGD:CA, Name: Groupe Dynamite Inc, actions subalternes
ID: MTY:CA, Name: Groupe MTY
ID: TV, Name: Grupo Televisa S.A.
ID: GCG.A:CA, Name: Guardian Capital Group Limitée,  catégorie A
ID: TAN:EGX, Name: Guggenheim Solar ETF
ID: GURU:CA, Name: GURU Organic Energy Corp.
ID: HR.UN:CA, Name: H&R REIT
ID: HPS.A:CA, Name: Hammond Power Solutions Inc., catégorie A
ID: XLV, Name: Health Care Select Sector SPDR Fund
ID: HSY, Name: Hershey Co
ID: HLF:CA, Name: High Liner Foods Inc
ID: HD:EGX, Name: Home Depot
ID: HMC:EGX, Name: Honda Motors
ID: HON:EGX, Name: Honeywell International
ID: HSAV:CA, Name: Horizons Cash Maximizer ETF
ID: HPQ:EGX, Name: HP Inc.
ID: HSBC:EGX, Name: HSBC Holding
ID: HUBB, Name: Hubbell Inc
ID: HBM:CA, Name: Hudbay Minerals Inc.
